feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,target_variable
0.0,1061.37,1.19,120.27,0.0,0.69,1.24,1.46,2.68,0.91,257.52,7.51,0.5,0.31,0.1,0.69,1.75,372.32,0.0,0.02,0.0,120.27,2.34,26.41,0.0,0.0,,,-0.4468085106382978
0.0,940.84,0.7,197.23,0.0,0.69,2.53,2.02,3.11,1.1,313.73,5.94,0.42,0.48,0.14,0.69,2.65,289.88,0.06,0.01,0.0,197.23,2.23,22.5,0.0,0.08,,,-0.375
0.0,1091.41,1.15,100.02,0.0,0.69,1.24,1.3,2.44,0.81,232.64,7.38,0.5,0.27,0.04,0.69,1.47,340.68,-0.01,0.02,0.0,100.02,2.3,24.46,0.0,0.0,,,-0.36956521739130443
0.0,1195.91,1.1,61.8,0.0,0.69,0.99,1.1,2.13,0.67,299.69,5.96,0.49,0.52,0.33,0.69,1.13,241.6,0.0,0.03,0.0,61.8,2.31,18.11,0.0,0.01,,,-0.5434782608695652
0.0,1210.78,1.1,80.1,0.0,0.69,0.99,1.22,2.39,0.85,319.99,5.96,0.68,0.48,0.33,0.69,1.32,224.57,0.01,0.03,0.0,80.1,2.43,17.65,0.0,0.06,,,-0.7846153846153846
0.0,1182.07,1.45,123.42,0.0,0.69,1.42,1.5,2.82,0.79,230.53,5.78,0.69,0.43,0.21,0.69,1.8,240.52,0.17,0.03,0.0,123.42,2.29,22.0,0.0,0.01,0.29,0.29,-0.5595238095238095
0.0,911.92,3.49,213.29,0.0,0.69,4.68,2.12,3.14,1.19,284.08,6.86,0.49,0.77,0.38,0.69,2.78,271.29,-0.05,0.01,0.0,213.29,2.2,19.03,0.0,0.13,,,-0.4166666666666666
0.0,1088.21,0.75,15.69,0.0,0.69,0.77,0.76,0.86,0.2,244.0,9.79,0.12,0.43,0.22,0.69,0.67,349.39,0.02,0.02,0.0,15.69,2.19,19.13,0.0,0.03,0.22,0.22,-0.640625
0.0,1003.72,0.66,107.8,0.0,0.69,1.48,1.5,2.72,0.9,361.18,6.2,0.39,0.31,0.02,0.69,1.78,377.81,-0.03,0.02,0.0,107.8,2.2,20.37,0.0,0.04,,,-0.6323529411764706
0.0,1194.5,0.82,64.65,0.0,0.69,0.99,1.09,2.0,0.45,300.71,6.93,0.21,0.72,0.47,0.69,1.1,250.62,-0.02,0.03,0.0,64.65,2.13,18.02,0.0,0.13,0.22,0.22,-0.37735849056603776
0.0,1223.39,0.6,115.7,0.0,0.69,0.65,1.41,2.69,0.44,325.79,6.17,0.13,0.72,0.33,0.69,1.58,236.44,-0.04,0.04,0.0,115.7,1.95,16.64,0.0,0.08,0.2,0.2,-0.11538461538461538
0.41,688.46,2.92,44.54,7.28,5.56,9.11,3.85,5.21,0.88,224.39,7.23,0.74,1.21,0.79,5.84,5.31,160.27,0.29,0.03,500.0,44.54,3.22,61.82,0.0,0.29,,,-0.9285714285714286
0.0,1065.24,1.09,4.08,0.0,3.16,1.11,2.03,3.57,0.15,268.68,7.45,0.16,2.7,3.77,3.16,3.51,142.97,0.22,0.02,0.0,4.08,2.86,59.9,0.0,0.0,0.21999999999999997,0.21999999999999997,0.04347826086956513
0.0,951.96,1.58,85.63,0.0,3.16,2.04,2.3,3.4,0.11,201.15,10.47,0.21,1.99,2.57,3.16,3.33,139.67,-0.35,0.03,0.0,85.63,2.17,52.85,0.0,0.6,0.48,0.48,0.12941176470588234
0.45,587.61,2.61,42.0,6.75,5.84,4.68,4.27,4.76,0.15,176.19,7.62,0.24,1.91,1.8,5.84,5.69,72.61,0.15,0.03,500.0,42.0,2.06,49.54,0.0,0.09,0.51,0.51,-0.45360824742268036
0.43,1005.62,1.39,411.8,5.53,5.84,1.2,2.46,3.21,1.09,243.9,8.0,2.42,0.53,0.37,3.16,3.32,105.71,0.08,0.02,500.0,73.77,3.44,120.5,0.0,0.09,0.22000000000000003,0.22000000000000003,0.21212121212121213
1.67,910.3,4.95,137.82,1.57,2.42,5.63,3.32,3.12,0.69,114.52,5.93,0.55,6.89,3.67,2.11,3.27,34.64,1.09,0.07,500.0,137.82,2.6,108.81,0.0,0.67,,,-0.86
2.02,609.9,3.85,28.74,1.0,3.73,6.15,3.39,3.82,0.64,218.64,6.8,1.05,4.65,4.17,3.73,3.72,81.03,0.13,0.04,500.0,28.74,2.39,120.69,0.0,0.49,0.30999999999999994,0.30999999999999994,0.017543859649122823
1.75,431.15,1.62,35.82,2.18,3.73,8.33,3.01,3.87,1.51,160.99,7.08,1.02,0.99,,3.73,3.72,98.09,0.05,0.04,431.15,35.82,3.12,101.75,0.25,0.11,,,
3.19,1111.89,1.9,195.69,1.59,3.57,2.52,3.22,3.46,0.12,174.65,7.29,1.44,0.73,0.59,3.57,3.49,49.76,-0.07,0.09,500.0,195.69,1.98,78.38,0.0,0.08,,,-0.9125
2.59,859.85,2.62,93.0,0.85,2.11,2.61,2.73,2.93,0.03,159.33,6.4,0.56,0.83,0.51,2.11,2.8,84.94,0.03,0.05,500.0,93.0,1.94,130.52,0.0,0.07,0.33999999999999997,0.33999999999999997,-0.6874999999999999
0.65,417.11,0.75,400.42,0.42,1.26,1.36,2.1,2.91,0.11,307.87,7.15,1.43,0.65,0.67,2.24,2.98,28.13,-0.05,0.03,417.11,287.57,1.01,36.0,0.36,0.05,0.1299999999999999,0.1299999999999999,-0.12658227848101278
0.73,208.98,0.99,187.85,0.06,1.26,1.18,1.9,2.69,0.25,365.1,9.88,0.67,0.55,0.34,1.26,2.57,89.45,0.14,0.02,208.98,187.85,0.24,75.02,3.16,0.05,0.23999999999999994,0.23999999999999994,-0.050000000000000044
0.71,237.26,0.89,214.4,0.04,1.26,1.18,2.02,2.73,0.07,383.62,8.04,0.79,0.79,0.41,2.21,2.82,49.7,0.12,0.02,237.26,192.92,0.36,80.71,2.72,0.16,0.30000000000000004,0.30000000000000004,0.11666666666666678
0.7,291.5,1.24,274.16,0.21,1.26,0.97,2.0,2.8,0.2,284.18,8.2,1.07,0.37,0.18,2.19,2.78,115.58,0.03,0.03,291.5,255.48,0.62,53.55,1.69,0.01,0.16000000000000003,0.16000000000000003,0.23076923076923075
0.71,275.84,1.14,259.81,0.31,1.26,1.06,1.96,2.78,0.19,270.71,6.44,1.14,0.93,1.1,1.24,2.68,139.55,0.14,0.02,275.84,259.81,0.66,54.8,1.87,0.07,0.13,0.13,0.32692307692307676
1.54,163.9,2.63,261.79,0.16,4.05,5.55,3.6,4.08,0.95,111.07,10.24,0.54,1.23,0.89,3.82,4.02,184.37,0.15,0.04,163.9,261.79,0.14,44.17,3.04,0.27,0.3799999999999999,0.3799999999999999,-0.07608695652173919
0.89,25.91,0.98,19.22,0.04,1.26,1.03,1.37,1.64,0.07,328.91,14.56,0.02,0.64,0.66,1.26,1.45,97.8,0.09,0.02,25.91,19.22,0.02,74.25,6.5,0.07,0.14,0.14,0.31481481481481466
0.87,47.46,0.5,31.15,0.0,1.26,0.83,1.17,1.54,0.1,371.91,9.71,0.07,0.11,0.11,1.26,1.24,111.84,-0.01,0.02,47.46,31.15,0.0,96.77,6.39,0.0,0.21999999999999997,0.21999999999999997,0.3333333333333335
0.65,128.83,0.91,160.57,0.21,2.66,0.95,1.88,2.48,0.5,188.45,6.73,1.19,0.24,0.07,1.24,2.13,191.99,-0.04,0.02,86.35,106.5,0.4,148.52,2.36,0.01,-0.32,0.32,0.4468085106382981
0.73,116.07,0.28,95.81,0.0,1.26,0.56,1.66,2.46,0.05,418.13,8.17,0.5,0.09,0.13,1.26,2.13,102.01,-0.02,0.02,116.07,95.81,0.1,136.25,5.96,0.0,0.33999999999999997,0.33999999999999997,0.5500000000000002
0.62,240.8,2.35,205.35,0.05,3.69,1.44,2.27,2.71,0.51,387.75,6.96,1.03,0.75,0.26,2.12,3.41,9.07,0.68,0.01,240.8,99.64,0.55,171.81,3.52,0.06,0.5100000000000001,0.5100000000000001,0.8032786885245904
0.51,248.4,1.44,124.59,0.05,3.96,1.51,2.15,2.89,0.62,331.57,6.92,1.05,0.42,0.37,2.11,3.3,24.03,-0.02,0.01,248.4,85.01,0.47,217.99,4.31,0.11,0.5700000000000001,0.5700000000000001,1.0158730158730158
0.82,114.29,0.76,94.35,0.25,1.26,0.98,1.57,2.38,0.37,189.51,7.54,0.55,0.27,0.16,1.26,1.77,207.71,-0.05,0.03,114.29,94.35,0.3,60.28,4.7,0.0,0.029999999999999916,0.029999999999999916,0.4468085106382981
0.5,182.43,0.76,170.17,0.1,1.26,1.81,1.73,3.39,0.8,272.25,6.93,0.51,0.41,0.31,1.32,2.2,56.63,0.05,0.03,182.43,170.17,0.0,42.94,5.66,0.11,0.010000000000000009,0.010000000000000009,-0.20408163265306117
0.78,141.39,0.65,118.18,0.07,1.26,0.71,1.7,2.51,0.18,376.4,6.62,0.47,0.18,0.22,1.26,2.15,112.92,0.0,0.02,141.39,118.18,0.1,92.93,4.58,0.0,0.24999999999999994,0.24999999999999994,0.13114754098360648
0.62,265.95,2.13,210.6,0.18,3.96,1.44,2.34,2.68,0.48,396.07,9.16,1.01,3.27,3.05,2.12,3.53,7.08,-0.43,0.01,265.95,91.64,0.62,162.37,2.87,0.86,0.52,0.52,0.9062499999999999
0.7,215.34,0.45,190.6,0.17,1.26,0.8,2.04,2.71,0.03,433.19,5.16,0.69,0.2,0.26,1.74,2.89,32.33,-0.04,0.02,215.34,182.01,0.2,112.44,3.43,0.01,0.36999999999999994,0.36999999999999994,-0.027777777777777804
0.69,207.82,0.48,182.87,0.06,1.26,1.44,2.05,2.72,0.19,463.95,5.98,0.8,0.21,0.28,2.13,2.93,43.2,-0.01,0.01,207.82,154.78,0.3,136.28,3.81,0.01,0.41000000000000003,0.41000000000000003,0.34848484848484845
0.71,197.72,0.46,173.06,0.13,1.26,0.71,1.97,2.7,0.05,452.17,4.98,0.64,0.29,0.42,1.24,2.75,50.05,-0.04,0.02,197.72,173.06,0.19,109.51,3.77,0.01,0.35,0.35,-0.013888888888888902
0.71,153.01,0.13,128.88,0.0,1.26,0.56,1.87,2.63,0.18,474.38,5.09,0.7,0.02,0.17,1.26,2.56,95.9,0.0,0.01,153.01,128.88,0.2,140.21,5.07,0.0,0.37,0.37,0.5901639344262295
2.46,388.6,0.63,338.74,0.8,0.66,0.83,1.39,2.68,0.69,348.0,5.21,1.2,0.2,0.03,0.65,1.86,57.42,-0.01,0.01,388.6,338.74,1.1,16.43,0.62,0.0,0.21000000000000002,0.21000000000000002,-0.07142857142857148
1.58,283.3,2.25,250.65,0.7,0.66,1.29,1.14,2.52,0.98,366.49,6.24,0.64,0.34,0.2,0.66,1.49,28.02,0.0,0.01,283.3,250.65,0.89,19.14,1.76,0.0,0.16000000000000003,0.16000000000000003,-0.5161290322580645
2.25,310.02,0.67,253.7,0.6,0.66,1.24,1.24,2.62,0.8,414.0,7.89,0.99,0.15,0.13,0.66,1.63,50.62,-0.01,0.01,310.02,253.7,0.82,15.16,1.46,0.0,0.22999999999999998,0.22999999999999998,-0.04081632653061228
2.72,365.28,2.31,307.7,0.71,0.66,1.24,1.35,2.7,0.8,383.94,9.53,1.15,0.16,0.12,0.66,1.8,11.23,0.01,0.01,365.28,307.7,1.01,12.34,0.86,0.0,0.24999999999999994,0.24999999999999994,-0.020833333333333353
3.12,553.78,0.68,229.35,1.28,2.36,0.86,1.52,2.58,0.21,308.93,37.24,1.1,0.61,0.48,2.36,2.04,86.66,0.01,0.01,500.0,229.35,1.68,85.15,0.0,,0.23000000000000004,0.23000000000000004,0.1739130434782609
2.7,414.81,0.66,358.88,0.86,2.36,0.83,1.44,2.69,0.6,321.22,4.82,1.2,0.24,0.02,2.31,1.93,46.13,0.02,0.01,414.81,358.88,1.19,18.95,0.38,0.0,0.21000000000000002,0.21000000000000002,0.0
0.0,1064.66,0.65,0.0,0.0,0.0,0.87,0.0,3.22,4.06,459.74,5.78,0.0,0.41,0.0,0.66,0.0,431.34,0.0,,0.0,1039.32,3.35,0.0,0.0,0.1,0.0,0.0,-1.0
0.0,310.56,3.22,40.44,0.0,2.12,1.93,1.68,2.49,0.62,356.46,6.92,0.66,4.93,13.57,2.12,2.05,9.2,0.8,0.01,0.0,40.44,0.93,145.4,0.0,0.9,0.13,0.13,0.4385964912280702
0.0,314.19,0.87,53.75,0.0,2.24,1.7,1.93,2.53,0.1,339.21,4.24,0.1,0.16,0.05,2.24,2.16,34.43,0.0,0.01,0.0,53.75,0.72,146.3,0.0,0.05,0.11000000000000004,0.11000000000000004,-0.2807017543859649
0.0,333.51,0.57,150.17,0.0,2.24,0.74,1.85,2.82,0.08,462.18,7.68,0.1,0.25,0.13,2.24,2.06,246.6,0.0,0.01,0.0,150.17,1.06,89.64,0.0,0.03,0.11999999999999997,0.11999999999999997,-0.3720930232558139
0.0,312.46,0.81,90.12,0.0,2.24,0.94,1.97,2.7,0.0,340.19,5.34,0.06,0.41,0.33,2.24,2.17,189.27,0.03,0.01,0.0,90.12,1.05,112.76,0.0,0.0,0.12,0.12,-0.25581395348837205
0.0,321.48,1.25,37.93,0.0,2.24,1.7,1.98,2.38,0.1,314.62,4.33,0.1,0.17,0.07,2.24,2.16,39.96,-0.01,0.01,0.0,37.93,0.78,144.14,0.0,0.12,0.12,0.12,-0.28571428571428575
0.0,195.34,0.32,60.58,0.0,2.12,0.76,1.59,3.68,0.1,415.33,4.85,0.07,0.17,0.12,2.19,1.94,62.89,0.0,0.01,0.0,60.58,0.88,136.01,0.0,0.0,0.18,0.18,0.28571428571428586
0.0,235.63,0.24,86.95,0.0,2.12,0.76,1.75,2.92,0.1,502.11,3.87,0.1,0.1,0.09,2.12,2.06,92.89,0.0,0.01,0.0,86.95,0.91,147.67,0.0,0.0,0.14000000000000007,0.14000000000000007,0.32432432432432434
0.45,404.33,0.62,209.34,2.4,1.55,1.34,1.87,2.78,0.7,429.79,5.62,0.71,0.35,0.19,1.55,2.67,65.37,-0.03,0.03,500.0,209.34,0.73,71.84,0.0,0.0,,,-0.3375
0.4,595.51,0.58,40.58,2.23,1.55,0.67,1.4,2.16,0.46,404.27,5.55,0.39,0.27,0.1,1.55,2.03,173.14,0.01,0.01,500.0,40.58,1.17,140.04,0.0,0.0,0.7,0.7,0.13114754098360648
0.38,535.0,0.53,27.52,1.69,1.55,0.83,1.08,1.61,0.02,400.15,5.48,0.13,0.51,0.21,1.55,1.44,165.26,-0.01,0.01,500.0,27.52,0.73,187.26,0.0,0.08,0.71,0.71,0.6363636363636362
0.38,536.21,0.53,22.24,1.72,1.55,0.83,1.11,1.67,0.0,391.33,7.48,0.1,0.46,0.25,1.55,1.54,176.53,-0.02,0.01,500.0,22.24,0.76,180.93,0.0,0.09,0.71,0.71,0.5999999999999999
0.38,546.06,1.14,55.63,2.16,1.55,0.87,1.49,2.36,0.64,394.07,6.31,0.46,1.1,0.49,1.55,2.09,148.08,0.09,0.01,500.0,55.63,1.27,145.37,0.0,0.07,,,0.09090909090909087
0.46,540.33,0.75,335.08,2.97,1.55,0.61,1.94,2.83,0.8,479.31,6.57,1.15,0.4,0.31,1.55,2.73,29.16,0.05,0.02,500.0,335.08,1.32,16.79,0.0,0.0,,,-0.826923076923077
0.46,446.83,2.41,311.79,2.77,1.55,1.52,1.99,2.86,0.9,432.34,6.31,1.09,0.49,0.33,1.55,2.84,25.73,0.03,0.03,500.0,311.79,1.05,22.75,0.0,0.0,,,-0.7692307692307693
0.46,524.55,0.76,376.49,3.1,1.55,1.52,2.0,2.84,0.9,450.53,6.48,1.3,0.28,,1.55,2.83,47.62,0.03,0.03,500.0,376.49,1.4,7.28,0.0,0.01,,,
0.39,641.57,0.68,104.5,2.65,1.55,0.66,1.58,2.54,1.02,401.06,6.08,0.91,0.52,0.5,1.55,2.2,135.09,-0.01,0.01,500.0,104.5,1.63,99.34,0.0,0.13,,,-0.10909090909090918
0.4,676.18,0.46,100.95,2.61,1.55,0.66,1.57,2.54,0.89,408.18,4.91,0.81,0.29,0.12,1.55,2.22,109.81,0.0,0.01,500.0,100.95,1.51,95.14,0.0,0.0,0.62,0.62,0.25454545454545435
0.4,697.75,0.53,135.56,2.79,1.55,0.66,1.62,2.63,1.04,404.34,7.42,1.0,0.41,0.21,1.55,2.27,82.77,-0.02,0.01,500.0,135.56,1.7,82.66,0.0,0.06,0.6000000000000001,0.6000000000000001,-0.03125000000000003
0.42,542.03,0.24,131.94,2.16,1.55,0.29,1.51,2.36,0.4,473.32,6.61,0.35,0.14,0.07,1.55,2.09,20.99,-0.01,0.02,500.0,131.94,0.8,110.7,0.0,0.0,0.74,0.74,0.1222222222222222
0.42,496.23,0.23,82.86,2.1,1.55,0.4,1.39,2.11,0.3,462.85,5.96,0.27,0.09,0.09,1.55,1.89,5.91,0.0,0.02,500.0,82.86,0.7,138.17,0.0,0.0,0.7799999999999999,0.7799999999999999,0.04444444444444436
0.41,554.23,0.49,56.08,2.2,1.55,0.54,1.44,2.24,0.4,410.47,6.71,0.37,0.15,0.12,1.55,2.05,88.47,0.0,0.02,500.0,56.08,0.96,132.87,0.0,0.0,0.74,0.74,0.14473684210526314
0.41,579.46,0.56,37.94,2.26,1.55,0.54,1.57,2.56,0.49,414.89,4.67,0.4,0.19,0.13,1.55,2.44,116.67,-0.01,0.01,500.0,37.94,1.05,125.35,0.0,0.0,0.72,0.72,0.39344262295081966
0.4,498.59,0.51,12.26,1.84,1.55,0.55,0.91,1.12,0.0,428.89,5.76,0.01,0.32,0.16,1.55,1.05,89.75,0.0,0.01,500.0,12.26,0.71,200.16,0.0,0.01,0.76,0.76,0.16666666666666666
0.42,431.99,0.46,29.3,2.0,1.55,0.67,1.33,1.89,0.13,464.31,5.89,0.1,0.12,0.09,1.55,1.81,21.16,-0.01,0.02,500.0,29.3,0.6,181.61,0.0,0.01,0.8099999999999999,0.8099999999999999,-0.288135593220339
2.53,534.16,0.46,404.74,1.3,2.36,0.48,1.5,2.76,0.88,391.95,5.58,0.9,0.24,0.24,2.36,2.03,70.83,0.0,0.01,500.0,404.74,1.63,79.82,0.0,0.01,0.16999999999999998,0.16999999999999998,-0.10869565217391314
2.41,490.0,0.53,416.15,1.25,2.36,0.48,1.47,2.75,0.96,387.8,6.87,0.87,0.29,0.23,2.36,1.98,42.9,0.0,0.01,490.0,416.15,1.6,61.05,0.01,0.0,0.16999999999999998,0.16999999999999998,-0.27906976744186046
0.0,480.04,1.22,65.36,0.0,3.9,1.21,2.3,3.16,0.21,338.05,10.88,0.4,0.61,0.42,3.9,3.07,140.51,0.05,0.02,0.0,65.36,1.8,337.41,0.0,0.07,0.32,0.32,-0.6481481481481481
0.0,627.81,0.71,27.97,0.0,3.9,1.14,2.06,3.01,0.03,263.18,7.09,0.1,0.26,0.19,3.9,2.97,82.91,0.01,0.02,0.0,27.97,2.41,182.46,0.0,0.0,0.35,0.35,-0.17647058823529416
0.0,773.45,0.43,195.75,0.0,2.43,0.91,2.16,3.21,0.1,302.72,17.16,0.13,0.08,0.25,2.43,2.71,79.18,-0.03,0.01,0.0,195.75,2.5,159.42,0.0,,0.33999999999999997,0.33999999999999997,-0.6226415094339622
0.0,838.67,0.57,271.11,0.0,2.43,1.06,2.28,3.52,0.24,291.45,6.49,0.1,0.21,,2.43,2.93,26.86,0.0,0.02,0.0,271.11,2.4,130.2,0.0,0.02,,,
0.0,893.82,0.7,315.7,0.0,3.68,1.09,2.41,3.45,0.2,396.76,6.12,0.0,0.51,0.58,3.69,3.12,146.65,0.0,0.01,0.0,315.7,2.9,124.73,0.0,0.02,0.37,0.37,-0.2608695652173913
0.0,818.0,1.01,220.23,0.0,3.9,0.98,2.36,3.35,0.32,381.32,14.56,0.13,1.04,0.72,3.87,3.05,200.21,0.1,0.01,0.0,220.23,2.8,96.98,0.0,,0.36,0.36,-0.20512820512820515
0.0,883.73,1.17,268.42,0.0,3.9,1.08,2.43,3.43,0.51,203.93,24.97,0.27,0.66,0.73,3.9,3.14,201.33,-0.08,0.01,0.0,268.42,3.15,63.33,0.0,,0.37,0.37,0.04347826086956513
0.0,897.1,1.17,284.07,0.0,3.9,1.08,2.44,3.45,0.35,202.03,25.57,0.1,0.6,0.66,3.9,3.16,200.64,0.0,0.01,0.0,284.07,3.01,63.48,0.0,,0.36,0.36,-0.36170212765957444
0.0,872.53,1.2,255.09,0.0,3.9,1.0,2.42,3.41,0.66,214.43,27.93,0.41,0.7,0.72,3.9,3.13,202.36,-0.14,0.01,0.0,255.09,3.26,64.27,0.0,,0.37,0.37,0.3478260869565217
0.0,832.95,1.21,222.96,0.0,3.9,0.98,2.38,3.37,0.57,296.61,14.08,0.35,0.88,0.61,3.9,3.08,211.64,-0.04,0.01,0.0,222.96,3.09,84.38,0.0,,0.37000000000000005,0.37000000000000005,0.19565217391304351
0.0,888.27,0.99,245.18,0.0,3.9,1.0,2.45,3.44,0.6,272.33,11.7,0.3,0.89,1.06,3.9,3.17,132.93,0.0,0.01,0.0,245.18,3.22,39.19,0.0,,0.37,0.37,-0.0869565217391305
0.0,901.01,0.99,260.01,0.0,3.9,1.0,2.46,3.45,0.6,237.26,10.45,0.3,1.2,1.08,3.9,3.18,137.5,-0.04,0.01,0.0,260.01,3.24,35.69,0.0,0.0,0.37,0.37,-0.13043478260869565
0.0,876.98,1.4,239.58,0.0,3.9,1.0,2.44,3.42,0.62,247.69,28.18,0.34,1.33,1.33,3.9,3.15,153.15,0.0,0.01,0.0,239.58,3.2,47.51,0.0,,0.37,0.37,0.06521739130434775
0.0,824.85,1.17,221.27,0.0,3.9,0.98,2.37,3.36,0.44,336.54,14.6,0.24,1.07,0.86,3.91,3.07,211.36,-0.05,0.01,0.0,221.27,2.95,90.45,0.0,,0.37000000000000005,0.37000000000000005,-0.08510638297872336
0.0,1048.23,0.84,396.79,0.0,3.9,1.25,2.7,3.62,0.4,320.63,9.15,0.1,0.53,0.0,3.9,3.43,33.96,0.04,0.01,0.0,396.79,3.38,3.34,0.0,0.0,,,-1.0
0.0,630.52,3.43,143.4,0.0,3.9,2.98,2.29,3.21,0.03,194.25,7.34,0.45,0.72,0.48,3.9,3.02,32.5,0.04,0.03,0.0,143.4,2.13,89.28,0.0,0.06,,,-0.65
0.0,1029.35,1.06,326.88,0.0,3.68,1.31,2.58,3.57,0.48,276.23,4.81,0.1,0.21,0.19,3.68,3.33,90.18,0.01,0.01,0.0,326.88,3.4,36.79,0.0,0.13,,,-0.5818181818181819
0.0,478.18,1.16,94.68,0.0,3.9,0.92,2.26,3.1,0.09,348.85,5.49,0.29,1.07,0.87,3.9,2.98,104.88,0.12,0.02,0.0,94.68,1.92,290.93,0.0,0.01,0.38,0.38,-0.47368421052631576
0.0,446.68,0.77,175.14,0.0,3.9,0.93,2.17,2.92,0.13,374.66,7.66,0.55,0.37,0.25,3.91,2.7,50.29,0.01,0.02,0.0,175.14,1.66,218.93,0.0,0.01,,,-0.7662337662337663
0.0,266.86,0.69,34.63,0.0,3.44,0.9,2.08,2.35,0.28,92.75,7.23,0.35,0.44,0.2,3.44,2.28,188.93,-0.05,0.01,0.0,34.63,1.26,375.12,0.0,0.03,0.41000000000000003,0.41000000000000003,0.111111111111111
0.0,424.3,1.15,55.33,0.0,2.43,0.95,2.07,2.54,0.1,248.99,6.1,0.03,0.25,0.21,2.44,2.43,195.13,0.02,0.01,0.0,55.33,1.9,446.26,0.0,0.01,0.36,0.36,-0.09433962264150951
0.78,524.85,0.53,500.0,0.81,0.66,0.75,1.36,2.91,2.84,391.07,5.01,3.25,0.27,,0.66,1.67,380.79,-0.01,0.04,201.9,493.62,2.48,0.0,0.0,0.0,,,
0.0,731.1,1.12,500.0,0.0,4.36,1.36,3.7,3.71,0.45,421.07,6.74,2.61,0.28,,3.44,4.24,100.1,-0.04,0.03,0.0,322.48,1.8,0.0,0.0,0.0,,,
0.0,524.64,0.9,186.79,0.0,3.44,1.43,1.78,4.47,0.4,224.7,6.54,0.71,0.23,0.12,3.44,2.12,74.81,0.02,0.04,0.0,145.68,1.27,124.68,0.0,0.0,,,-0.8260869565217391
0.0,481.72,2.61,223.93,0.0,5.14,2.33,4.27,4.82,0.2,191.29,7.58,0.54,1.01,0.81,5.15,5.3,51.45,-0.11,0.03,0.0,223.93,0.1,84.14,0.0,0.06,,,-0.6595744680851063
0.0,1053.91,2.01,500.0,0.0,3.44,2.39,4.32,4.01,0.77,186.02,5.91,0.93,0.79,0.59,4.36,5.51,31.95,0.39,0.02,0.0,393.16,1.52,29.93,0.0,0.01,,,-0.7083333333333333
0.0,551.79,5.7,233.7,0.0,5.14,4.03,4.07,5.11,1.34,101.94,6.68,1.44,1.29,,5.14,5.01,29.15,0.0,0.05,0.0,233.7,1.39,74.79,0.0,0.2,,,
0.0,609.45,2.32,296.7,0.0,5.14,4.66,4.06,5.03,0.8,162.28,9.06,0.9,1.34,,5.14,4.98,57.92,-0.08,0.05,0.0,296.7,0.77,35.81,0.0,0.23,,,
0.0,1124.74,1.38,500.0,0.0,3.44,1.99,4.28,4.02,0.81,201.51,6.23,1.0,0.27,0.16,4.36,5.41,63.9,-0.01,0.02,0.0,326.89,1.6,29.13,0.0,0.14,,,-0.6874999999999999
7.85,140.62,3.29,375.47,0.99,0.66,1.87,1.14,2.81,0.47,423.87,4.74,2.51,6.39,9.11,1.04,1.49,2.75,3.09,0.03,140.62,105.76,0.84,4.81,3.8,0.76,0.71,0.71,-0.19047619047619038
3.79,303.01,2.68,247.37,0.09,0.66,1.99,1.13,2.74,0.72,367.17,6.26,1.35,1.85,0.26,0.66,1.49,8.55,1.13,0.01,303.01,247.37,0.28,14.78,2.38,0.01,0.71,0.71,0.03225806451612906
2.13,205.7,0.76,149.47,0.07,0.66,1.74,0.87,2.38,0.7,436.61,5.75,0.72,0.32,0.17,0.66,1.12,43.58,0.01,0.01,205.7,149.47,0.22,24.37,3.07,0.0,0.45999999999999996,0.45999999999999996,-0.1935483870967742
2.98,271.5,1.83,212.71,0.22,0.66,1.99,1.07,2.64,0.86,395.8,6.14,1.0,0.62,0.28,0.66,1.4,38.61,0.16,0.01,271.5,212.71,0.44,18.41,2.33,0.08,0.49,0.49,0.0
5.94,227.05,2.47,282.39,0.48,0.66,1.86,1.07,2.81,0.6,324.46,6.84,1.68,0.12,0.12,1.04,1.4,25.64,-0.02,0.03,227.05,186.62,0.22,12.59,3.78,0.02,,,0.09333333333333327
6.75,198.98,0.73,317.03,0.5,0.66,1.39,1.13,2.93,0.6,331.01,10.66,1.85,0.11,0.11,1.04,1.48,9.04,-0.01,0.03,198.98,196.37,0.28,8.92,3.68,0.0,,,0.1265822784810126
7.51,166.67,0.52,356.03,0.5,0.66,1.39,1.19,3.06,0.6,354.53,5.49,2.0,0.16,0.07,1.02,1.57,11.98,-0.03,0.03,166.67,205.29,0.32,5.3,3.6,0.0,,,0.17721518987341772
0.0,1001.96,0.72,119.77,0.0,4.02,0.74,2.99,3.64,0.51,268.28,9.06,0.27,0.22,0.11,4.02,3.73,147.42,0.0,0.04,0.0,119.77,4.11,199.95,0.0,,,,-0.736842105263158
0.0,1372.6,3.36,446.34,0.0,4.02,2.73,3.37,3.65,3.55,236.17,7.61,0.93,3.67,1.98,4.02,4.19,82.24,0.38,0.04,0.0,446.34,5.98,8.26,0.0,0.16,0.24,0.24,-0.5957446808510638
4.44,791.05,0.32,152.45,1.5,2.36,0.44,1.64,2.55,0.24,394.73,5.71,1.0,0.05,0.11,2.36,2.21,42.82,0.0,0.01,500.0,152.45,2.0,137.13,0.0,0.0,0.30000000000000004,0.30000000000000004,0.21428571428571433
